COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |3812                                | Ecartico                            | Hondt, Jan [de]                     | 1617-12-17                          | Hondt, Jan [de]                     | Verhuijck, Joanna                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |3812                                | Ecartico                            | Hondt, Jan [de]                     | 1617-12-17                          | Hondt, Jan [de]                     | Passant, Catharina                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Mont, Jan [de]                      | 1639-04-10                          | Mont, Jan [de]                      | Hont, Saartje [de]                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Mont, Jan [de]                      | 1639-04-10                          | Mont, Jan [de]                      | Hoent, Sara [de]                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Mont, Jan [de]                      | 1639-04-10                          | Demont, Jan                         | Hont, Saartje [de]                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Mont, Jan [de]                      | 1639-04-10                          | Demont, Jan                         | Hoent, Sara [de]                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Demont, Jan                         | 1639-04-10                          | Mont, Jan [de]                      | Hont, Saartje [de]                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Demont, Jan                         | 1639-04-10                          | Mont, Jan [de]                      | Hoent, Sara [de]                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Demont, Jan                         | 1639-04-10                          | Demont, Jan                         | Hont, Saartje [de]                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26379131p1                     | Marriage003                         | Demont, Jan                         | 1639-04-10                          | Demont, Jan                         | Hoent, Sara [de]                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26437666p1                     | Marriage003                         | Bonet, Jan [de]                     | 1630-01-26                          | Bonnet, Jan [de]                    |                                     |                                     | Claes, Jannetje                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26437666p1                     | Marriage003                         | Bonet, Jan [de]                     | 1630-01-26                          | Bonet, Jan [de]                     |                                     |                                     | Claes, Jannetje                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26437666p1                     | Marriage003                         | Bonnet, Jan [de]                    | 1630-01-26                          | Bonnet, Jan [de]                    |                                     |                                     | Claes, Jannetje                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26437666p1                     | Marriage003                         | Bonnet, Jan [de]                    | 1630-01-26                          | Bonet, Jan [de]                     |                                     |                                     | Claes, Jannetje                     |                                     |                                     |                                     |                                     |                                     |

9      N6126635904236630635   2             |-BAD [0.667]-          |-BAD [0.632]-          |-BAD [0.632]-          |-BAD [0.65]-           |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |20392                               | Ecartico                            | Dam, Harman Pietersz.               | 1620-08-19                          | Dam, Harman Pietersz.               |                                     |                                     |                                     |                                     |                                     |                                     | 1620-08-19                          |                                     |
