COUNT  CLUSTER-ID             CLUSTER-SIZE  |MACHINE-EVAL           |MACHINE-MIN-EVAL       |MACHINE-AVG-EVAL       |MACHINE-ALL-EVAL       |HUMAN-EVAL  |HAS-CYCLE   NOT GOOD  CYCLE  |COMMENT                |RESOURCES              

93     P3249725125929057078   2             |-BAD [0.667]-          |-BAD [0.625]-          |-BAD [0.625]-          |-BAD [0.646]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |15510                               | Ecartico                            | Grietje Lubbers                     | 1641-05-11                          | Thomas Jacobsz                      | Grietje Lubbers                     |                                     |                                     |                                     |                                     |                                     |                                     | 1620-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26377273p2                     | Marriage003                         | Lubberts, Grietje                   | 1637-02-07                          |                                     | Lubberts, Grietje                   | Allertsz, Allert                    |                                     |                                     |                                     |                                     |                                     |                                     |

94     N8809180661082892498   2             |-BAD [0.667]-          |-BAD [0.6]-            |-BAD [0.6]-            |-BAD [0.633]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |24946                               | Ecartico                            | Falck, Hans                         | 1610-02-25                          | Falck, Hans                         | Sanders van Os, Lijsbeth            |                                     |                                     |                                     |                                     |                                     | 1645-01-01                          | 1578-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26341257p1                     | Marriage003                         | Fack, Hans                          | 1602-12-07                          | Fack, Hans                          | Cornelis, Trijntje                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

95     P6408800510515958998   3             |-GOOD [1.0]-           |-GOOD [1.0]-           |-GOOD [1.0]-           |-GOOD [1.0]-           |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |9757                                | Ecartico                            | Lijsbeth Engels                     | 1627-01-01                          | Daniel Danielsz.                    | Lijsbeth Engels                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26356685p2                     | Marriage003                         | Engels, Lijsbeth                    | 1630-10-08                          | Jacobss, Jacob                      | Engels, Lijsbeth                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26384195p3                     | Marriage003                         | Engels, Lijsbeth                    | 1624-12-21                          | Pieterss, Jan                       |                                     |                                     | Engels, Lijsbeth                    |                                     |                                     |                                     |                                     |                                     |

96     N5161441915150885212   3             |-GOOD [1.0]-           |-GOOD [0.938]-         |-GOOD [0.958]-         |-GOOD [0.966]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24514269p1                     | Baptism002                          | Gerrits, Geertgen                   |                                     | Jansz, Pieter                       | Gerrits, Geertgen                   |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1603-08-14
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24689055p1                     | Baptism002                          | Gerrits, Geertge                    |                                     | Cornelisz, Jan                      | Gerrits, Geertge                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1603-12-28
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |27903                               | Ecartico                            | Geertgen Gerrits                    | 1607-01-01                          | Heure, Christiaan [d']              | Geertgen Gerrits                    |                                     |                                     |                                     |                                     |                                     | 1607-01-01                          |                                     |

97     N7705990044575348990   3             |-GOOD [1.0]-           |-GOOD [0.929]-         |-GOOD [0.952]-         |-GOOD [0.96]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |10851                               | Ecartico                            | Jannetgen Aryans                    | 1624-03-31                          | Breckerveld, Herman Jansz.          | Jannetgen Aryans                    |                                     |                                     |                                     |                                     |                                     | 1642-01-01                          |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26358090p2                     | Marriage003                         | Arents, Janneke                     | 1610-04-03                          | Jansz, Abraham                      | Arents, Janneke                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26400202p4                     | Marriage003                         | Arents, Janneke                     | 1603-03-08                          | Willemsz, Ariaan                    | Pieters, Grietje                    |                                     | Arents, Janneke                     |                                     |                                     |                                     |                                     |                                     |

98     N4177672072409237207   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no         -OK-              |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId24646913p2                     | Baptism002                          | Roeters, Phillips                   |                                     | Roeters, Phillips                   | Jans, Lijsbet                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1615-03-01
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |28329                               | Ecartico                            | Roeters, Phillips                   | 1616-01-01                          | Roeters, Phillips                   | Lysbet Jans                         |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

99     N7475343700238264144   2             |-BAD [0.667]-          |-BAD [0.619]-          |-BAD [0.619]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24634828p2                     | Baptism002                          | Schaef, Henrick                     |                                     | Schaef, Henrick                     | Arents, Grietje                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1632-06-01
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |20487                               | Ecartico                            | Schaep, Henrick                     | 1640-04-12                          | Schaep, Henrick                     | Oostrum, Maria [van]                |                                     |                                     |                                     |                                     |                                     | 1681-01-01                          |                                     |

100    N3789923995611192091   2             |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-BAD [0.667]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |10480                               | Ecartico                            | Simon, Helena                       | 1637-03-13                          | Ville, Guilliam [de]                | Simon, Helena                       |                                     |                                     |                                     |                                     |                                     | 1672-01-01                          | 1614-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26398352p2                     | Marriage003                         | Simon, Helena                       | 1637-03-13                          | Ville, Guilliaem [de]               | Simon, Helena                       |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

101    N8615284093577752361   3             |-GOOD [1.0]-           |-BAD [0.882]-          |-GOOD [0.922]-         |-GOOD [0.934]-         |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24380284p1                     | Baptism002                          | Lamberts, Annetjen                  |                                     | Jacobsz, Jan                        | Lamberts, Annetjen                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1647-09-10
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId24409641p1                     | Baptism002                          | Lamberts, Annetjen                  |                                     | Jansz, Gerrit                       | Lamberts, Annetjen                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     | 1627-04-25
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14769                               | Ecartico                            | Annetjen Alberts                    | 1617-09-09                          | Iben, Hubert                        | Annetjen Alberts                    |                                     |                                     |                                     |                                     |                                     |                                     | 1596-01-01                          |

102    N4416568094000257694   2             |-BAD [0.667]-          |-BAD [0.623]-          |-BAD [0.623]-          |-BAD [0.643]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |15220                               | Ecartico                            | Willem Simonsz                      | 1631-10-18                          | Willem Simonsz                      | Apoleunij Harmans                   |                                     |                                     |                                     |                                     |                                     |                                     | 1607-01-01                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26394215p1                     | Marriage003                         | Sijmonsz, Willem                    | 1602-03-21                          | Sijmonsz, Willem                    |                                     |                                     | Jans, Trijn                         |                                     |                                     |                                     |                                     |                                     |

103    N7343506988927032361   5             |-BAD [0.838]-          |-BAD [0.782]-          |-BAD [0.813]-          |-BAD [0.818]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14113                               | Ecartico                            | Jannetje Davits                     | 1623-03-10                          | Haegen, Jan Jansz [van der]         | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     | 1650-10-25                          | 1600-12-05                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14113                               | Ecartico                            | Jannetje Davits                     | 1632-06-25                          | Colms, Jan Siewertsz                | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     | 1650-10-25                          | 1600-12-05                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14113                               | Ecartico                            | Jannetje Davits                     | 1632-06-25                          | Haegen, Jan Jansz [van der]         | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     | 1650-10-25                          | 1600-12-05                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |14113                               | Ecartico                            | Jannetje Davits                     | 1623-03-10                          | Colms, Jan Siewertsz                | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     | 1650-10-25                          | 1600-12-05                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |15125                               | Ecartico                            | Jannetje Davits                     | 1628-03-25                          | Freraerts, Boudewijn                | Jannetje Davits                     |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26332357p2                     | Marriage003                         | Davits, Jannetje                    | 1632-06-25                          |                                     | Davits, Jannetje                    | Jansz, Jan                          |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26337738p2                     | Marriage003                         | Davids, Jannetje                    | 1626-05-28                          | Egbertsz, Jacob                     | Davids, Jannetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26376524p2                     | Marriage003                         | Davits, Jannetje                    | 1643-05-23                          | Maersen, Jan                        | Davits, Jannetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26376524p2                     | Marriage003                         | Davits, Jannetje                    | 1643-05-23                          | Martenss, Jan                       | Davits, Jannetje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

104    N5052396651873842382   3             |-BAD [0.223]-          |-BAD [0.211]-          |-BAD [0.217]-          |-BAD [0.226]-          |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |21767                               | Ecartico                            | Geertje Heijndricx                  | 1633-03-26                          | Wiaer, Abraham Jans                 | Geertje Heijndricx                  |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26401545p2                     | Marriage003                         | Heijndricx, Beertje                 | 1631-10-11                          | Willemss, Jan                       | Heijndricx, Beertje                 | Jans, Jan                           |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26401545p2                     | Marriage003                         | Heijndricx, Beertje                 | 1631-10-11                          | Boode, Jan Willemsen                | Heijndricx, Beertje                 | Jans, Jan                           |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26402962p2                     | Marriage003                         | Heijndricx, Geertje                 | 1633-03-26                          | Wijaer, Abraham Janss               | Heijndricx, Geertje                 |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

105    N8832584767154404934   2             |-BAD [0.667]-          |-BAD [0.632]-          |-BAD [0.632]-          |-BAD [0.65]-           |-B-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |27930                               | Ecartico                            | Febure, Susanna [le]                | 1636-01-01                          | Warmenhuysen, Garbrant Adriaansz [van] | Febure, Susanna [le]                |                                     |                                     |                                     |                                     |                                     | 1636-01-01                          | 1604-11-25                          |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26345669p2                     | Marriage003                         | Febre, Susanna [le]                 | 1613-08-24                          | Grelle, Hendrik Heijnriksz          | Febre, Susanna [le]                 |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            - -       - -    |                       |saaId26345669p2                     | Marriage003                         | Febre, Susanna [le]                 | 1613-08-24                          | Heinrisen, Heinrick                 | Febre, Susanna [le]                 |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

106    N5299145386768517461   2             |-BAD [0.667]-          |-BAD [0.616]-          |-BAD [0.616]-          |-BAD [0.64]-           |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |15209                               | Ecartico                            | Mulat, Guion                        | 1640-03-24                          | Mulat, Guion                        | Marretie Teunis                     |                                     |                                     |                                     |                                     |                                     |                                     | 1615-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26375518p1                     | Marriage003                         | Malack, Gideon                      | 1640-03-24                          | Mulat, Gideon                       | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26375518p1                     | Marriage003                         | Malack, Gideon                      | 1640-03-24                          | Malack, Gideon                      | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26375518p1                     | Marriage003                         | Mulat, Gideon                       | 1640-03-24                          | Mulat, Gideon                       | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |saaId26375518p1                     | Marriage003                         | Mulat, Gideon                       | 1640-03-24                          | Malack, Gideon                      | Teunis, Marritje                    |                                     |                                     |                                     |                                     |                                     |                                     |                                     |

107    N7708342008780481445   2             |-BAD [0.667]-          |-BAD [0.619]-          |-BAD [0.619]-          |-BAD [0.643]-          |-G-         |no                           |                       |RESOURCE                            | DATASET                             | FULL_NAME                           | MARRIAGE                            | HUSBAND                             | WIFE                                | PREVIOUSHUSBAND                     | PREVIOUSWIFE                        | ONES_DEATH                          | FIRST                               | SECOND                              | DEATH                               | BIRTH                               | KIDS_BAPTISM
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |19882                               | Ecartico                            | Jacob Burgers                       | 1624-02-24                          | Jacob Burgers                       | Reesdorp, Trijntje Goossens         |                                     |                                     |                                     |                                     |                                     | 1686-01-01                          | 1602-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |19882                               | Ecartico                            | Jacob Burgers                       | 1624-02-24                          | Jacob Burgers                       | Merode, Sijtje Jans [van]           |                                     |                                     |                                     |                                     |                                     | 1686-01-01                          | 1602-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |19882                               | Ecartico                            | Jacob Burgers                       | 1637-01-03                          | Jacob Burgers                       | Merode, Sijtje Jans [van]           |                                     |                                     |                                     |                                     |                                     | 1686-01-01                          | 1602-01-01                          |
                                            |                       |                       |                       |                       |            |            -1-       - -    |                       |19882                               | Ecartico                            | Jacob Burgers                       | 1637-01-03                          | Jacob Burgers                       | Reesdorp, Trijntje Goossens         |                                     |                                     |                                     |                                     |                                     | 1686-01-01                          | 1602-01-01                          |
